title,conversation_id,phase,utterance_id,utterance_index,utterance_speaker,role,nontext,utterance_text,segment
Obama's Iran Deal Is Good For America,13878,0,13878,0,John Donvan,mod,"{'applause': [[0, 44]]}","And we always begin them by having Bob Rosenkranz come to the stage and talk about our thinking in putting this debate on at this time and what's at stake. So please, one of these moments, a round of applause for Mr. Bob Rosenkranz. Hi, Bob.",-1
Obama's Iran Deal Is Good For America,13878,0,13879,1,Robert Rosenkranz,host,{},"Hi, John.",-1
Obama's Iran Deal Is Good For America,13878,0,13880,2,John Donvan,mod,{},"Hi, Bob. So, you know, we're doing one of these strategy debates. It's one of those, probably for a lot of people in the audience and myself, it's one of those learning debates where we're going to learn from both sides. But you, we were talking before-- earlier in your career, you worked for the Rand Corporation out in Santa Monica thinking strategy. During the period of the Cold War-- and just what-- you know, in terms of helping us understand what we mean when we say ""nuclear strategy.""",-1
Obama's Iran Deal Is Good For America,13878,0,13881,3,Robert Rosenkranz,host,{},"Well, I was at Rand in the ‘60s when it was the epicenter of research and thought about nuclear strategy. And, you know, it's been 70 years since a nuclear bomb was used in war. But in spite of that passage of time, it still has a great deal of relevance as a strategic construct. And in Rand's view then and, frankly, in my view now, the biggest relevance of nuclear weapons is really as a deterrent because countries that possess nuclear weapons can-- can pursue a more aggressive projection of power and a more aggressive foreign policy than they might be able to do otherwise.",-1
Obama's Iran Deal Is Good For America,13878,0,13882,4,John Donvan,mod,{},"So if you look at a case like Iran, and very often Iran's leaders are disparaged as crazy and nuts, but for them to want to deter, have a weapon to deter doesn't seem entirely irrational.",-1
Obama's Iran Deal Is Good For America,13878,0,13883,5,Robert Rosenkranz,host,{},"No. I would argue that it's not irrational at all. And if you do a thought experiment, imagine if Saddam Hussein had nuclear weapons when he went into Kuwait or prior to 9/11. He would probably still be in office today. So having nuclear weapons does have a strategic value even if they are extraordinarily unlikely to ever be used.",-1
Obama's Iran Deal Is Good For America,13878,0,13884,6,John Donvan,mod,{},"So do we think, then, Iran, if it gets a weapon, would be not so likely to use it?",-1
Obama's Iran Deal Is Good For America,13878,0,13885,7,Robert Rosenkranz,host,{},"Well, I think the strategic issue is not so much their likelihood to use it because I suspect that they would be deterred by the specter of a counter attack from whomever they used it against. But the more relevant thing is that having nuclear weapons would embolden them to pursue even more aggressively the clear policy that they have of being a revolutionary power in a pretty dangerous neighborhood. I mean, they're using Hezbollah and Hamas to project power. They've, in effect, destabilized Iraq. They are a revolutionary power that seeks regional dominance.",-1
Obama's Iran Deal Is Good For America,13878,0,13886,8,John Donvan,mod,{},"In terms of their apparently moving towards making this deal, they get in return now the lifting of sanctions, money. Does that have-- is that an asset that, for them, could have as much value as the deterrent power?",-1
Obama's Iran Deal Is Good For America,13878,0,13887,9,Robert Rosenkranz,host,{},"Well, absolutely. And I think the point is that while they might be emboldened by having nuclear weapons, they would also have a much greater ability to project power in the region if the sanctions were lifted because their economy would be much stronger, they'd have much more revenues from oil. They'd have much more investment in their society. The people ruling it would probably be in a stronger domestic position. So, I think that as we listen to tonight's debate, at least I'm going to be listening not just about whether or not they get nuclear weapons, but whether or not they are in a stronger or weaker position as a result of this deal to in effect act as a regional hegemon and adversely to the U.S. interests.",-1
