title,conversation_id,phase,utterance_id,utterance_index,utterance_speaker,role,nontext,utterance_text,segment
Bush 43 is the Worst President of the Last 50 Years,4395,0,4395,0,John Donvan,mod,"{'applause': [[0, 40]]}","...Okay, all of our preliminaries are out of the way, at this point, we're going to begin the evening and it's pleasure to introduce, to set the stage and set the theme, the chairman of Intelligence Squared, Mr. Robert Rosenkranz.",-1
Bush 43 is the Worst President of the Last 50 Years,4395,0,4396,1,Robert Rosenkranz,host,"{'applause': [[1, 108]], 'laughter,applause': [[1, 87]]}","Thank you very much and welcome. Well, it's my role in these evenings to frame the debate, and I think for most New Yorkers, we're all very familiar with the liberal critique of George W. Bush. But even from a conservative perspective, the Bush presidency could be seen as far worse than than Bill Clinton's. Clinton was for free trade, he spent a lot of political capital getting NAFTA through, versus the Bush administration with steel tariffs and ethanol subsidies. Clinton had welfare reform. This administration has had the first new entitlement of great scale in the last 40 years in prescription drugs for the elderly. Clinton had a balanced budget. This administration has had absolutely out of control public spending. On the other hand, consider the following. This administration accomplished something that nobody would've thought possible-they kept America safe after 9-11. And then think about a President like Nixon who was so reviled in his time, but whose rapprochement with China really set the stage, geopolitically for everything that transpired, the collapse of the Soviet Union, the emergence of the Chinese economy. Sometimes the historic perspective gives a very, very different view than what you see at the moment. And finally consider Jimmy Carter. He invented the term ""stagflation,"" we had 13 percent inflation, no economic growth, 19 percent interest rates. He abandoned the Shah of Iran who was a staunch American ally, enabled the ayatollahs to take over in Iran. His ineptitude during the hostage crisis emboldened Russia to invade Afghanistan. He was a truly awful President. So, there's a lot to be said on both sides here. And it's my pleasure now to turn the evening over to John Donvan, and the outstanding panel that we've assembled tonight.",-1
Bush 43 is the Worst President of the Last 50 Years,4395,0,4397,2,John Donvan,mod,"{'pause': [[1, 167]], 'laughter': [[2, 5]], 'applause': [[0, 23], [0, 115], [0, 130], [0, 148], [0, 169], [2, 113]]}","Thank you, and may I just invite one more round of applause, sustained applause for Mr. Rosenkranz for making all of this possible. Welcome to the Symphony Space in New York City, we are here with a sold-out audience, for an Intelligence Squared US debate, in which the motion is, ""George W. Bush is the worst American President of the last 50 years,"" that is, ""Bush 43 is the worst President of the last 50 years."" I'm John Donvan, your host and moderator, and tonight we have, arguing for the motion, an esteemed panel, to my left, to your right, beginning with Jacob Weisberg, who is editor-in-chief of Slate and author of The Bush Tragedy. Joining him on the same team, Simon Jenkins, a distinguished British newspaper editor and commentator. Arguing against the motion, to your far right, Karl Rove, former deputy chief of staff to President Bush. And his debating partner, Bill Kristol, editor of The Weekly Standard and chief of staff for former Vice President Dan Quayle. The Intelligence Squared and Intelligence Squared US debates are supported by the Rosenkranz Foundation. Now, shortly you will be hearing from our four panelists, two for the motion, and two arguing against. But this evening is a contest, a contest of wit and skill and logic and ideas and in that contest, you are the judges, we are going to poll you twice during the program, once now and once later. We want to poll you to see where you stand on the motion. After that the debate will be open for our opening statements, and then we'll come to questions from you, the audience. So, if you turn to those keypads that each of you had at your seat...as we explained before, it'll only take a moment to vote, you press 1 if you agree with the motion that George W. Bush is the worst American President of the last 50 years, 2 if you do not agree, that Bush 43 is the worst President of the last 50 years. And number 3, if at this point you are undecided. Does anyone need more time? Terrific. We'll come to those results shortly after we hear the opening statements from the panelists. For this point let us say, let the debate begin, our motion is, George W. Bush is the worst President of the last 50 years, Bush 43 is the worst President of the last 50 years. Arguing first for the motion is Jacob Weisberg, a chairman and editor-in-chief of the Slate Group. He has just published a book, a history of the Bush family in politics, its title, gives you a sense of where he is coming from on this debate, it is called The Bush Tragedy. Ladies and gentlemen, Jacob Weisberg.",-1
Bush 43 is the Worst President of the Last 50 Years,4395,0,4398,3,Jacob Weisberg,for,"{'laughter': [[3, 31], [7, 9]], 'applause': [[7, 16], [7, 59]], 'warningtone,': [[6, 91]]}","If you need more time I'm afraid I can't help you. I'd like to thank Bob Rosenkranz and Intelligence Squared. I feel like I've spent most of the past year watching Presidential debates, it's nice to finally be in one. Please don't change your minds, Bush was obviously the worst President of the past 50 years. Yet the task Simon and I have tonight is extremely difficult. We have to convince a small fraction of you, at least if you're anything like the people who have given Bush the lowest approval rating of any post-war President, who still resist that conclusion. And to be honest I'm not sure that people who still defend the Bush Presidency are entirely open to persuasion. But I wanna try, by talking a little about how much Bush has done wrong and how little he's done right. Let me first just tell you a little bit about my own perspective on this, I am not a Bush hater. I'm not someone who can be described as a partisan Democrat, the way Mr. Kristol and Mr. Rove are partisan Republicans. I'm a centrist liberal, I'm fairly hawkish on security issues, I'm in favor of limited government. And let me just state up front, I think George W. Bush was a fine governor of Texas. I think Ronald Reagan was a successful President, and I think George H. W. Bush, 41, understood foreign policy better than all but a few Presidents in the post-war era. About two years ago, I started writing a book about the Bush Presidency. And I was gonna spend a lot of time on Bush's successes and accomplishments. And I'll admit that I wanted to do that not just to be fair, but so I would look fair. And, I looked for the successes and accomplishments, and I looked, and I looked, and I came back totally empty-handed. There were a number of areas where I expected to stick up for Bush, but I really found it impossible. For example, I was sympathetic to his approach to education reform. But even from a conservative perspective, Bush didn't allow- provide enough resources to allow for any real mobility or choice in public schools. Instead of national standards which we needed he let the states write their own tests. That's what the conservative base wanted. They don't believe the federal government should be involved in education at all, and in caving in to them Bush ensured that he'd make little meaningful progress on education and in fact, he has made very little meaningful progress. I thought Bush was right about the need for immigration reform. And then I watched him surrender to the xenophobes and nativists in his own party. I thought Bush was right to spend a lot of money fighting AIDS in Africa. And then I watched him save far fewer lives than he might have, because of religious extremists, again in his own party, who believe abstinence propaganda's more effective than condoms. I thought Bush was right about free trade, and then I watched his lack of leadership lead to the collapse of the most important item on the global trade agenda, the Doha development route. So, those are the partial successes. I can't hope to cover all Bush's failures tonight. What would be a top failure for a President doesn't even really make his top five. So, never mind his incompetent response to Hurricane Katrina, it doesn't make the cut. Never mind his denial of climate change and eight lost years on global warming, that doesn't make the cut either. I'm just going to give you my top five. Number one is the invasion of Iraq. This was the most important decision of the Bush Presidency and he made it on the basis, as I think we all know, of the false premise that Saddam Hussein was threatening America with weapons of mass destruction, and consorting with al-Qaeda. Now I'm not someone who believes that Bush deliberately falsified the evidence. But I believe he was totally uninterested in the evidence. This war would never have been fought, if Bush had been interested in the truth as opposed to finding a pretext for something he wanted to do. I think his second biggest failure is the mismanaged occupation of Iraq. Bush refused for more than three years to change a failed military strategy. And almost the whole time people like my friend Mr. Kristol here were desperately insisting, rightly in my view, that Bush needed to move to a counterinsurgency strategy. Bush said, essentially, don't bother me with the details. He delegated the strategy to Rumsfeld and he ignored the failure. I think the surge has helped tremendously in Iraq, the outrage is that Bush moved to it in 2007, not in 2003 or 2004. His third biggest failure is undermining Constitutional rights, and American ideals. Now I can't go into detail here about all the ways he abused his authority, and disregarded the rights of both foreigners and American citizens. But he and Vice President Cheney opened the door to torture, which led directly to the horrors of Abu Ghraib. He effectively suspended habeas corpus, holding suspects for years without charge or trail, and he took a perverse view of his office, claiming that virtually limitless executive authority was part of the inherent power of the Presidency. His fourth failure was sabotaging American unity after September 11th. The day after the attacks, the front page of La Monde in Paris said ""We are all Americans."" The whole world was with us. But Mr. Bush and Mr. Rove saw September 11th as a political opportunity for what Spiro Agnew called, ""positive polarization."" Now Simon is gonna speak to the harm, that this did to America's image in the world. But I would just say, with a new administration coming into office, never in more than 200 years of our history has restoring America's around the world been such an urgent project for a new President. Number five, my last, is Bush's catastrophic economic mismanagement, which is so current we hardly even need to spell it out. It remains to be seen whether we're facing a depression, whether Bush will stand in for Herbert Hoover. But I think it's clear that we're living through the direct result of an ideological refusal to sensibly regulate financial markets. Bush says he's sorry about all the lost jobs, if you saw his interview on ABC last night. But, as he loses his, the interesting question is whether he ever understood or understood now, his own contribution. Now our opponents this evening, may try to argue that Richard Nixon or Jimmy Carter was worse. But neither of those Presidents failed as badly as Bush. Carter had the Camp David agreement, and despite Watergate, Nixon left historic accomplishments including opening relations with China, and creating the Environmental Protection Agency. Neither of them rivals Bush for sheer, all-pervading incompetence. But if our opponents tonight- Thank you. I'm closing here, if our opponents tonight wish to argue that Bush was only the second worst President of the last 50 years, that's not much of a defense. This national nightmare, I would suggest, has been the deepest and longest of all.",-1
Bush 43 is the Worst President of the Last 50 Years,4395,0,4399,4,John Donvan,mod,"{'laughter': [[0, 73]], 'applause': [[0, 78]]}","Thank you, Jacob Weisberg. And actually perfect timing. Bill Kristol is the editor of the influential Washington-based political magazine The Weekly Standard. Just over a year ago he wrote a piece predicting that President Bush's Presidency would be remembered ultimately by history as a successful one. We bumped into each other on the street last week, and he said, ""I'm still prepared to argue that, but can I leave out the US economy."" Bill Kristol, ladies and gentlemen.",-1
Bush 43 is the Worst President of the Last 50 Years,4395,0,4400,5,William Kristol,against,"{'laughter': [[0, 39], [0, 46], [0, 94], [6, 176]], 'warningtone': [[6, 2]]}","Well, thanks, John, I'm still happy to argue that and it's the truth- It's good to be back on the Upper West Side, let me say I grew up just a mile from here, Bella Abzug was my Congresswoman. And that made me a conservative. Right. A decision I've not regretted, since then. Bush was not my first choice, George W. Bush was not my first choice for the Republican nomination for the Presidency in 2000, I've had my quarrels with the Bush administration, but he's been a pretty good President. He's, it's- Well... As we sit here safely, seven years after 9-11, having won a war in Iraq, we can snicker and laugh with the US economy having grown 18 percent over the last eight years, faster than any other Western advanced country, with the prescription drug benefits having been passed that has benefited many seniors which Bush gets no credit at all which he took on his own party for, on issues like immigration he valiantly took on his own party and did an awful lot to try to get that through. Bush has actually been a pretty impressive President, it's unfortunate that the public has, for various reasons, some of them good, soured on Bush, and he's done a horrible job, his administration, of explaining what they've done and what the choices were. In the real world the choices are not, you know, perfection, and a pretty good Presidency, in the real world he's made a lot of tough decisions, most of them correct. When he became President al- Qaeda was ascendant, Saddam Hussein was contained but unsustainably so, unless you think we could've had sanctions and inspectors for the last eight years. North Korea and Iran were secretly working on nuclear weapons programs, A. Q. Khan was dispensing nuclear material and know-how all over the world, Pakistan had exploded a nuclear weapon, in 1998. Then, 9-11, Bush reacted to that correctly, basically. We have been protected here since then, we have al-Qaeda on the run internationally. People can talk all they want about-there are a couple of things he did that he shouldn't have done, these have been- they were fixed by people in his own administration. Jack Goldsmith, Attorney General Ashcroft, Attorney General Mukasey, have fixed some of the mistakes that were made under the pressure of trying to defend this country against a ruthless terrorist group that had taken 3,000 lives, history will look kindly on Bush's performance as a national security and homeland security President. And one piece of the proof is that Obama is not going to change much. As the Obama people get briefed on the threats, they see that the surveillance program is necessary. I suppose Obama will close Guantanamo and move, in effect, Guantanamo here to the United States and put the people at Fort Leavenworth but he's not going to release these people into the US. Enhanced interrogation techniques which McCain and Obama oppose, so I guess I'm a lonely person in defending those, saved an awful lot of lives when used on Khalid Sheik Mohammed and I'm not willing to second-guess the decision, to use those techniques. Bush was a strong President on national security, the decision to go into Iraq was necessary I think. The Middle East today, with Saddam in power, or his sons in power, with terror connections, redeveloping the weapons of mass destruction programs presumably, since I don't think we could've kept sanctions on, and inspectors in for eight years, would've been a much more dangerous place. The decision to go with the surge was a courageous decision, made in December 2006, January 2007 under great adverse pressure, with very little public support, very little support from the Republican establishment, no support, obviously from almost any Democrats except Joe Lieberman. It was the right decision, it's been utterly vindicated. Have we ever seen really, this kind of real-time test. Bush said let's do this, here's what will happen, here's how we'll work, these critics said it can't work, it wasn't working, you're crazy, more lives are gonna be thrown away, and we had a real-time test of who was right and who was wrong. And now Barack Obama of course being an intelligent person, admits that the surge worked, and we are now beginning to draw down in a position of success in Iraq, not leaving a country that would've been a breeding ground for terror, I mean the degree to which Bush does not get enough credit, for refusing to cut and run in 2007 in Iraq, the degree to which people don't appreciate the strategic, the geostrategic disaster that would've been, remains kind of amazing to me. We have a pretty good outcome in Iraq, a very important ally in the Middle East, that has sacrificed a lot in fighting terror groups, that is standing with us against Iran, that has signed just a Status of Forces agreement with us, that will be a strategic partner with us. In a way this could be a strategic victory that could be the flip- side of the strategic defeat that the Iranian revolution in 1979, was. The rest of Bush's foreign policy has been...I have my quarrels with some of it, but most of it's been pretty successful, the relationship with India, the management of the China and Japan relationships. The Europeans have been annoyed at Bush at various times, on the other hand we're working more closely with Europe on Iran than we ever have before, and for all the talk about the US image in the world, the truth is, Barack Obama's not going to change those policies much at all. And I think it's good as an America, if we get a lot of credit now with Obama and people decide they like us better but the actual policies, the NATO policies, the Afghanistan policies, the Iran policies, the Pakistan-India policies, the China policies, are not going to change much. Because they're sensible pollicies. On the economy, obviously that's been terrible in the last few months, I do think Bush could've done some things differently but to be fair, it's not as if the Democrats had one prescription and Bush had another, and we went down one road and that's where we are. There were bipartisan mistakes, on some of the institutions like Fannie and Freddie. I'd say Bush was more correct than the Democrats, on others, he might've been somewhat less correct. We did have economic growth over these eight years, on the other hand, the big piece of deregulation that everyone loves to site as being the kind of key that unlocked the derivatives and the other instruments that have turned out to be, that spiraled out of control, the key that unlocked that was presumably the 1999 deregulation of financial institutions signed by Bill Clinton. Bush didn't sign any big deregulatory bill. So he gets a bit of a bum rap on the economy but, I won't, I won't make that my leading argument, for why Bush was a successful President, but the prescription drug benefit has worked very well. It has preserved competition while coming in under budget and helped a lot of seniors, aid for Africa has worked well, Bush has fought for free trade against a Democratic Party that has tried to turn its back on free trade and would...hopefully Obama will follow Bush and not some of his fellow Democrats in that way. The proof is in the pudding. Obama is not going to change many Bush policies. So it's a little ridiculous to say, Bush is the worst President in 50 years, Barack Obama's an intelligent, impressive man. He promises change, I hope he brings some change. But the fact of the matter is, Obama's Presidency will be in most major respects, a continuation of the Bush Presidency, and that's a good thing for the country.",-1
Bush 43 is the Worst President of the Last 50 Years,4395,0,4401,6,John Donvan,mod,"{'applause': [[0, 53]]}","Thank you, Bill Kristol. Simon Jenkins is a journalist and an author and writes a column for The Guardian, he is a British subject, he is a friend of America, but has never hesitated to tell America when he thinks it has made mistakes, ladies and gentlemen, Simon Jenkins, arguing for the motion.",-1
Bush 43 is the Worst President of the Last 50 Years,4395,0,4402,7,Simon Jenkins,for,"{'unclear': [[4, 5]], 'laughter': [[0, 22], [0, 60], [0, 113]], 'warningtone': [[5, 76]]}","Well ladies and gentlemen, I just heard a wonderful suggestion, Barack Obama is going to be the second-worst President since the war. The only thing I think that might make you, or many of you at least, not agree that George Bush is the worst American President of 50 years, is to hear somebody say it in a British accent. I'm acutely aware of the sensitivity of international comment. I am a deep skeptic about my own government, and I will not say much good of Gordon Brown, I won't say a lot of good about hereditary monarchy. But if I hear someone with an American accent insult my Queen I'll hit them. There is something about foreign accents on these subjects, that gets people's backs up, so I beg your pardon. The point I want to make is this. That there are really two American Presidents. There's a President of the United States of America, and that is entirely your business. But there's a second American President. And he is the President of the Western Alliance, and in many senses since the end of the Cold War, is seen as a sort of President of the rest of the world. I've just been in Syria and Lebanon. A lady speaking at a meeting made a rather moving remark. She said every single one of us round the world, went to the polls on November the 4th, but only some of us were let in. The vast majority disenfranchised, sat outside, while America decided on their economy, on their diplomacy, on their politics, in many cases on their lives. And it's to that American President that I want to say a few words tonight. I've spent almost all my life cheerleading for America. I'm second to nobody in this noble cause. And I can tell you it's not been easy this past eight years. But until the last eight years, I have always felt, that each American President, in some small sense, pushed uphill the great boulder of democratic freedom. Every single one, I felt at the end of it, yeah, America's done it again. We've made a bit of progress. I felt that was one of the great strengths of America, that it could push that boulder a bit uphill. It may have been a military intervention, it may have been a trade agreement, may have been a single example. Whatever it was, somehow or other, there was progress forward with what I call the great American crusade. When George Bush came to power I was rather in favor of him. I rather admired the program he put forth with this foreign policy. Condoleezza Rice's famous article on a humble foreign policy, definitely appealed to me. I liked the remark about America setting the world an example by what it did at home, rather than by getting the 82nd Airborne to lead kids to school. This seemed to me to be a refreshing, unbombastic, unostentatious diplomacy. Then came 9-11. And I've always remembered those few weeks after 9-11, when the whole world was pro-American. Yasir Arafat gave blood for New Yorkers. Many people forget that. Almost nobody, almost nobody, was not on America's side for those two or three weeks. And the disaster that followed, going to war in...true retaliation for it, is something from which I don't think American policy has ever recovered. I've recently been touring around that arc of instability, and the consequences of the consequences of 9-11 really have been catastrophic. To pretend that Iraq is a success is obscene. Iraq today is more or less back to what it was like in 2004 and if Karl or Bill want to walk hand in hand with me down Haifa Street in Baghdad, as you could still in 2004, well, I can tell you they won't. Afghanistan is heading in exactly the same direction, I think Afghanistan's going to be a far worse mistake than Iraq. But in every single theater that you look, with the possible exception of Japan which had been eccentrically mentioned, you will see what I can only describe as the wrong decisions taken. Iran should not be a at the moment, it should much more like Egypt, and it could've been. There's no reason for undermining the Pakistan government to the extent it has been undermined by American military intervention there. Russia, a putative friend eight years ago, is now a serious menace. Wherever you look, you see what I call the crashes down the road of neoconservatism, littering the highway of world affairs. This was unnecessary, it was not required by circumstance, it was choice, it was decisions made in Washington. Now those of us who feel very strongly about America, always regarded the basis on which America operated out of its area, America went abroad to do things, was that it had a sort of moral superiority. There was behind what it did, a backbone. And that backbone was the backbone on which those people who approved of American intervention abroad always relied on. I'm afraid under the leadership of the last eight years, that backbone has snapped. It has been simply impossible to tell countries elsewhere in the world that the American example, that the American intention, that the American execution of its intervention has been for the best. People just don't see it that way. If you go round many of these countries today, and I mean today, you see the most extraordinary faith put in the next American President- If you go round the world today, you will find the most extraordinary faith in the person you've elected as your next President. I have never come across anything like it. A totally naïve belief, that this is the messiah, Barack Obama, has come to save not you, but everybody. He will solve the Middle East. He will get out of Iraq, he'll get out of Afghanistan, he'll pacify Pakistan, he'll make friends with Iran. Ludicrous expectations are placed on the shoulders of this man. The reason why that's happened is because people simply have despaired over the last eight years. The reason why, I think, unrealistic but possibly disastrous expectations are made of Barack Obama, is that, George Bush, for better or for worse, George Bush, has caused such a catastrophe in so many countries around the world. I congratulate you on voting for Obama, I hope you will vote for this motion, thank you.",-1
Bush 43 is the Worst President of the Last 50 Years,4395,0,4403,8,John Donvan,mod,{},"Simon, could you repeat that line because we wanna not edit the bell and...",-1
Bush 43 is the Worst President of the Last 50 Years,4395,0,4404,9,Simon Jenkins,for,"{'applause': [[0, 156]]}","If you go round the world today, you will find the most extraordinary faith in the person you've elected as your next President. I have never come across anything like it. A totally naïve belief, that this is the messiah, Barack Obama, has come to save not you, but everybody. He will solve the Middle East. He will get out of Iraq, he'll get out of Afghanistan, he'll pacify Pakistan, he'll make friends with Iran. Ludicrous expectations are placed on the shoulders of this man. The reason why that's happened is because people simply have despaired over the last eight years. The reason why, I think, unrealistic but possibly disastrous expectations are made of Barack Obama, is that, George Bush, for better or for worse, George Bush, has caused such a catastrophe in so many countries around the world. I congratulate you on voting for Obama, I hope you will vote for this motion, thank you.",-1
