title,conversation_id,phase,utterance_id,utterance_index,utterance_speaker,role,nontext,utterance_text,segment
Amazon Is The Reader's Friend,15450,0,15450,0,John Donvan,mod,"{'applause': [[0, 19]]}","So, let's now please welcome to the stage the chairman of Intelligence Squared U.S., Mr. Robert Rosenkranz. Hi Bob.",-1
Amazon Is The Reader's Friend,15450,0,15451,1,Robert Rosenkranz,host,{},"Good evening, John.",-1
Amazon Is The Reader's Friend,15450,0,15452,2,John Donvan,mod,{},"So, Amazon's been around now 21 years or so, and we're getting to this debate now. What's-- give us a sense of what's at stake in this one.",-1
Amazon Is The Reader's Friend,15450,0,15453,3,Robert Rosenkranz,host,{},"Well, it's more current than you might think. I was reading an op-ed in the Wall Street Journal yesterday. And the headline was about an economics textbook, one of the most popular ones that kids are required to buy. You know what the publisher's price is, $360.",-1
Amazon Is The Reader's Friend,15450,0,15454,4,John Donvan,mod,{},Wow.,-1
Amazon Is The Reader's Friend,15450,0,15455,5,Robert Rosenkranz,host,{},And--,-1
Amazon Is The Reader's Friend,15450,0,15456,6,John Donvan,mod,"{'laughter': [[0, 6]]}",Must be a really good book.,-1
Amazon Is The Reader's Friend,15450,0,15457,7,Robert Rosenkranz,host,"{'laughter': [[0, 8]]}","I glanced through it. Most of it's wrong. But that said, you can buy it on Amazon for a discount, pay $292, or you can rent it for a semester from Amazon for $24, so I'd say in that case I think Amazon is the reader's friend.",-1
Amazon Is The Reader's Friend,15450,0,15458,8,John Donvan,mod,{},"I mean, if it's put in pricing terms, it does seem that Amazon is the reader's friend, that it's obvious, that there is no debate in that sense. So, what it-- what is there to debate about on this?",-1
Amazon Is The Reader's Friend,15450,0,15459,9,Robert Rosenkranz,host,{},"Well, I think this debate is sort of about first and second order effects. Right now it feels fine to be a reader to have the choice and-- that Amazon offers. But we're in a process where ultimately Amazon has a lot of power, and it affects authors, it affects writers, it affects publishers, and ultimately maybe affects readers in a way that's not obvious right at the moment.",-1
Amazon Is The Reader's Friend,15450,0,15460,10,John Donvan,mod,{},"But Amazon has power also in appliances, and they're putting pressure on the appliance store business. Why focus on books and reading?",-1
Amazon Is The Reader's Friend,15450,0,15461,11,Robert Rosenkranz,host,"{'laughter': [[0, 58]]}","Well, because books are so important to our culture. I mean, they represent our intellectual life, our creative life, our cultural continuity. It's just-- it's very different from other kinds of commodities, and frankly the people who write books and are interested in books are a lot more articulate than the people who make appliances for a living.",-1
Amazon Is The Reader's Friend,15450,0,15462,12,John Donvan,mod,{},"So, books are not widgets.",-1
Amazon Is The Reader's Friend,15450,0,15463,13,Robert Rosenkranz,host,{},They are not.,-1
