title,conversation_id,phase,utterance_id,utterance_index,utterance_speaker,role,nontext,utterance_text,segment
Let Anyone Take A Job Anywhere,7457,0,7457,0,John Donvan,mod,"{'applause': [[0, 78]]}","And I now want to bring to the stage the chairman of Intelligence Squared U.S. What we normally do before the debates, and we're going to do it now, is spend a couple of minutes framing this debate and why we picked it and what we're hoping for to come from the debate. So I'd like to bring to the stage now the gentleman who brought Intelligence Squared U.S. to New York City. Let's please welcome Robert Rosenkranz.",-1
Let Anyone Take A Job Anywhere,7457,0,7458,1,Robert Rosenkranz,host,{},"Hi, John.",-1
Let Anyone Take A Job Anywhere,7457,0,7459,2,John Donvan,mod,{},"Hi, Bob. So we do various kinds of motions. Sometimes it's right out of the headlines. It's a policy choice. We've done ""Repeal Obamacare"" or ""Abolish the Minimum Wage."" And then we do others that are a judgment on the state of things like ""science refutes God."" Tonight we're doing one of our, ""What if,"" kind of hypothetical debates. It's a different shape of an argument. Tell us about what we're doing tonight.",-1
Let Anyone Take A Job Anywhere,7457,0,7460,3,Robert Rosenkranz,host,{},"Well, of course, as I'm sure you've said, this is not a debate about immigration. It really is an experiment and a debate about pushing free market ideas to the limit. And we actually did an experiment like that a couple of years ago with a debate on the resolution, ""Legalize a Market in Human Organs."" And it proved to be one of the most successful debates we'd ever done.",-1
Let Anyone Take A Job Anywhere,7457,0,7461,4,John Donvan,mod,{},Even though it's not going to happen probably in our lifetime. The point was to explore the pros and the cons and the ethical issues involved.,-1
Let Anyone Take A Job Anywhere,7457,0,7462,5,Robert Rosenkranz,host,{},Exactly.,-1
Let Anyone Take A Job Anywhere,7457,0,7463,6,John Donvan,mod,{},"So tonight's debate, how radical a notion really is it to let anyone take a job anywhere?",-1
Let Anyone Take A Job Anywhere,7457,0,7464,7,Robert Rosenkranz,host,{},"Well, it is not that radical a notion. It's a notion that's been applied for decades in the European Union. And the result has been very good for people who employ migrant labor. It's been very good for the people who use their services and the customers. It has not been so good for people who have to compete. And in Britain they call this the Polish plumber problem.",-1
Let Anyone Take A Job Anywhere,7457,0,7465,8,John Donvan,mod,{},"And when you look at this motion language, ""Let Anyone Take a Job Anywhere,"" how literally do you think that we should expect the debaters to be arguing ""anyone anywhere""?",-1
Let Anyone Take A Job Anywhere,7457,0,7466,9,Robert Rosenkranz,host,{},"Well, the motion language is pretty extreme, I must admit, and not terribly nuanced, but a motion that said, let more people take more jobs in more places would hardly have been a good debate. But I would expect--",-1
Let Anyone Take A Job Anywhere,7457,0,7467,10,John Donvan,mod,"{'laughter': [[0, 6]]}","Everybody would be against that, right?",-1
Let Anyone Take A Job Anywhere,7457,0,7468,11,Robert Rosenkranz,host,{},"I would expect, though, that we're going to hear tonight ideas about how to take the free market further in the context of labor markets. So, for example, it would hardly be that radical to have a treaty between the United States and the EU and Canada providing for free market of labor in those areas. But I think we're going to learn a lot tonight about the various aspects of a complicated topic.",-1
Let Anyone Take A Job Anywhere,7457,0,7469,12,John Donvan,mod,{},"All right. Thanks, Bob. Very much. And I would like to now invite our debaters to the stage.",-1
Let Anyone Take A Job Anywhere,7457,0,7470,13,Robert Rosenkranz,host,"{'applause': [[0, 4]]}","Thank you, John. Thanks.",-1
Let Anyone Take A Job Anywhere,7457,0,7471,14,John Donvan,mod,"{'applause': [[0, 60], [2, 192]]}","The lights were a little soft on me up here, and I was just waiting for them to come up. It's not an ego thing. It's a camera thing. Before we start, though, again, I just want to thank Bob Rosenkranz for bringing these debates here, and just want to ask them for one more round of applause for that. One of the oven overlooked assumptions about life in these United States is that built into that word ""united,"" that we're all part of the same polity and that-- and we have the rights within our borders to go anywhere we want in pursuit of a job. You're from North Dakota, there is nothing in the law to stop you from going to get a job in North Carolina. And Europe has taken that idea a lot further with one shared open market for two dozen plus countries so that a chip maker in Dublin or an insurance company in Sophia can hire the best people affordable from Finland to France or from Estonia to Austria. So what is the lesson? Or more to the point for us, what if the U.S. set out to make deals, partnership deals, with other open labor markets? Say the U.S. does a deal with Europe, the U.S. and Canada or the U.S. and India or the U.S. and China. When the barriers to labor fall, who would gain and who would lose? Now, this is a big what if but it sounds like there's a lot to debate in there. So let's have it, yes or no to this statement, ""Let Anyone Take a Job Anywhere,"" a debate from Intelligence Squared U.S. I'm John Donvan. We are at the Kauffman Music Center in New York City. We have four superbly qualified debaters, two against two, who will take opposite sides on this motion, ""Let Anyone Take a Job Anywhere."" Our debate as always goes in three rounds, and then the audience votes to choose a winner, and only one side wins. Our motion, again, is ""Let Anyone Take a Job Anywhere."" And now let's meet the team first that is arguing for the motion. Ladies and gentlemen, please welcome Bryan Caplan. And, Bryan, you are a professor of economics at George Mason University. You are a well-known proponent of open borders. You wrote a book called, ""The Myth of the Rational Voter,"" in which you puzzled over the question of why democracies so often make bad policy choices. You list price controls and protectionism and other populist policies that you say most economists would never vote for. So we're just wondering, tonight we have 400 people in the audience, if these were all economists in front of you, would your side have the advantage tonight?",-1
Let Anyone Take A Job Anywhere,7457,0,7472,15,Bryan Caplan,for,"{'laughter': [[0, 24]]}","Probably a slight advantage. Economists are definitely much more pro-immigration than most Americans, but economists also don't like to be extreme. I'm an exception.",-1
Let Anyone Take A Job Anywhere,7457,0,7473,16,John Donvan,mod,"{'applause': [[0, 11]]}","All right, thank you. Thank you, Bryan Caplan, ladies and gentlemen. And, Bryan, your partner is?",-1
Let Anyone Take A Job Anywhere,7457,0,7474,17,Bryan Caplan,for,{},"Vivek Wadhwa, god of Twitter.",-1
Let Anyone Take A Job Anywhere,7457,0,7475,18,John Donvan,mod,"{'applause': [[0, 7]], 'laughter--': [[0, 3]]}","Ladies and gentlemen-- let's welcome Vivek Wadhwa. Vivek, you are also arguing for this motion, ""Let Anyone Take a Job Anywhere."" You are vice president of research and innovation at Singularity University. You are a fellow at Stanford Law School. Before joining academia you actually started two software companies. You were born in India. You went to NYU Business School, became a naturalized citizen in 1989. Just curious, if this were all happening in your life now, business school, 2013, 2014, would you go to India now or would you still want to stay here?",-1
Let Anyone Take A Job Anywhere,7457,0,7476,19,Vivek Wadhwa,for,{},"John, I wouldn't have had a choice. I couldn't get a visa. We will close the doors. We'd lock the borders. We're turning away brilliant people because of our flawed immigration policies. So I would have had to leave.",-1
Let Anyone Take A Job Anywhere,7457,0,7477,20,John Donvan,mod,{},"Well, you're here now.",-1
Let Anyone Take A Job Anywhere,7457,0,7478,21,Vivek Wadhwa,for,{},I'm here now.,-1
Let Anyone Take A Job Anywhere,7457,0,7479,22,John Donvan,mod,"{'applause': [[0, 7], [0, 36]]}","Ladies and gentlemen, let's welcome Vivek Wadhwa. Our motion is ""Let Anyone Take a Job Anywhere,"" and now let's meet this team that is arguing against this motion. First, ladies and gentlemen, let's welcome Kathleen Newland. Kathleen, you are cofounder of the Migration Policy Institute. You study migration, development, refugee protection. You have advised the U.N. high commissioner on refugees and the International Labor Organization. And part of what inspired you to go into this field is something that you did at a very young age. You were 16 years old, and you were an exchange student where?",-1
Let Anyone Take A Job Anywhere,7457,0,7480,23,Kathleen Newland,against,{},"I went to Calcutta at the age of 16, very brave parents. It is an experience that utterly changed my life.",-1
Let Anyone Take A Job Anywhere,7457,0,7481,24,John Donvan,mod,{},"And that's how you ended up in a way here. Ladies and gentlemen, let's welcome Kathleen Newland. And, Kathleen, your partner is?",-1
Let Anyone Take A Job Anywhere,7457,0,7482,25,Kathleen Newland,against,{},Ron Unz.,-1
Let Anyone Take A Job Anywhere,7457,0,7483,26,John Donvan,mod,"{'laughter': [[0, 91]], 'applause': [[0, 91]], 'applauseron,': [[0, 5]]}","Ladies and gentlemen, Ron Unz. you have one of those very, very disparate resumes that Intelligence Squared loves. You're a physicist by training. But then you were a founder and chairman of Wall Street Analytics, which is a financial services software company. Then you ran for governor of California. Then you were a publisher of the American Conservative. You've been described, quote, unquote, as a ""nerdy guy who lives and breathes policy and politics."" And I hope you know that in the Intelligence Squared universe that makes you a sex symbol.",-1
Let Anyone Take A Job Anywhere,7457,0,7484,27,Ron Unz,against,"{'laughter': [[0, 11]]}","Well, I guess we'll find out when the vote takes place.",-1
Let Anyone Take A Job Anywhere,7457,0,7485,28,John Donvan,mod,"{'laughter': [[0, 266]], 'applause': [[0, 5], [0, 345]]}","Ladies and gentlemen, our debaters. Now, I want to remind you that this is a debate. It's a contest. There will be a winner and a loser, and you, our live audience at the Kauffman Music Center here in New York City, will choose the winners by voting twice, once before the debate and once again after the debate. And the team whose numbers have moved the most in terms of your support for their side of the motion in percentage point terms will be declared our winner. So let's go to our preliminary vote. You go to those keypads at your seat, and look at numbers one, two, and three. You can ignore the other ones. But if you look at our motion: Let Anyone Take a Job Anywhere-- and if you agree with that at this point, you want to push number one. If you disagree with that, you want to push number two. And if you're undecided, you want to push number three. And if you push the wrong button, you can just correct yourself. The system will lock in your last vote. Then again, at the end of the debate, we'll repeat that exercise. Again, the team whose numbers have changed the most in percentage point terms from their opening positions will be declared our winner. And at the end of the debate, it takes us about 90 seconds to get that calculation taken care of. Jon, I just want to ask if I could get a pen at some point. But-- wait, don't you need that for-- oh, great, thank you. Okay. Perfect. Thank you. This has all these secret messages. There's been notes written on here. Crib notes. That's the wrong pen. All right. Onto Round 1-- opening statements from each of our debaters. They will be seven minutes each, uninterrupted. Our motion is this: Let Anyone Take a Job Anywhere. And speaking first for the motion, Bryan Caplan, a professor of Economics at George Mason University and Senior Scholar at the Mercatus Center. Ladies and gentlemen, Bryan Caplan.",-1
Let Anyone Take A Job Anywhere,7457,0,7486,29,Bryan Caplan,for,"{'applause': [[6, 151], [8, 35]], 'unintelligible': [[1, 58]], 'laughter': [[4, 175], [5, 23], [7, 3]]}","Let Anyone Take a Job Anywhere. Given current policy, it does sound radical. But notice, the resolution does not say ""Let Anyone Become a Citizen Anywhere."" The resolution does not say ""Let Anyone Collect Government Benefits Anywhere."" The respondent does not say ""Let Anyone Vote Anywhere."" The resolution only says that no matter where you're born, it should be legal for you to accept a job offer from a willing employer. The resolution parallels-- let any woman take a job anywhere, or let any Jew take a job anywhere, or let any black take a job anywhere. The resolution is not a request for charity and it is not a demand for government help. It simply asks the world's governments to stop requiring discrimination against foreign workers. But most arguments focus on high-skilled, high-tech workers. I outsourced this topic to my partner, Vivek Wadhwa. I'm going to focus on the vast majority of would-be immigrations who aren't high-skilled or high-tech. Haitian shoe shines. Nigerian waiters. Mexican gardeners. Bangladeshi farmers. Now, why on earth shouldn't we require discrimination against such people? Who would want them? You know, the same reason that we shouldn't require discrimination against women, against Jews, or against blacks. They're fellow human beings. And they count. Now, suppose the world's governments made it illegal for Ron to work anywhere but Haiti. Would that be morally acceptable, to trap Ron in Haiti for the rest of his life? Mandatory discrimination against foreigners is especially awful, because most of the world's workers earn vastly more in the first world than they ever could at home. Moving from Haiti to Miami increases your wages by about 20 times. That is not plus 20 percent. That is not plus 200 percent. That is plus 2,000 percent. Now, you could object that we're not obliged to help total strangers. You know, you'll say-- but the important point is, remember, allowing someone to take a job is not charity. Let me repeat that. Allowing someone to take a job is not charity. What is it? It's call minimal decency. So, suppose that Kathleen were to get a job. If I refrain from slashing her car tires on her first day of work, that does not make me a philanthropist. I am not starting the ""Save Kathleen Newland Fund"" when I don't vandalize her car. I'm merely leaving Kathleen alone. Now, sometimes tragically, just leaving someone alone has enormous costs. For example, if someone has bubonic plague, a quarantine really is the lesser evil. If you leave the person with bubonic plague free to roam, he could kill millions of people. Would open borders wreck comparable harm on our economy? No. Every scholarly estimate of the economic effects of open borders finds enormous overall benefits. Economist Michael Clemens, the world's expert on this topic, finds that a free global labor market would roughly double global production. Now, this point he makes-- double, how is it possible to double global production? Well, consider this thought experiment. Imagine there were a billion farmers stuck in Antarctica farming the snow. All right. I don't know a lot about farming, but it sounds tough. All right. Now, suppose we were to let these billion farmers move from Antarctica to anywhere else. Anywhere with decent soil, decent weather, decent conditions. Well, obviously, the billion Antarcticans would be way better off when they get to leave Antarctica. But they are hardly the only beneficiaries. The other beneficiaries of allowing them to leave Antarctica are everyone on earth who eats food, everyone on the-- everyone on earth who eats food benefits from that greater availability of food. Now, economically speaking, Haiti and Bangladesh really are like Antarctica. They're countries where workers realize only a small sliver of their full potential. Ask yourself this: What is the best job that you could get in Bangladesh? Not very good. Now, wouldn't open borders hurt American workers? Some. Take me. I am a native born college professor. Thanks to a massive immigration loophole, virtually any PhD in the world can legally compete with me in the U.S. labor market. As a result, about half of all U.S. research professors are foreign born. This has slashed my wages and my career prospects. Right now, there is probably an immigrant sitting at Harvard in the office that is supposed to be mine. Now, is my sad, sad story a good argument for immigration restrictions? Sure, it's a great argument. Wait. No, it's a terrible argument. Professorial immigration is bad for me, but it's good for consumers of education. If you're glad that you didn't pay even more for your college education, thank an immigrant. The same goes for every occupation. Immigration of waiters is bad for native born waiters, but it's good for diners. Immigration of gardeners is bad for native born gardeners, but it's good for homeowners. So how on earth could we ever judge the overall effect? There is a very simple answer. Keep both eyes firmly on production. Keep both eyes firmly on production. When global production doubles, your standard of living is very likely to rise. This is not trickle-down economics. It is Niagara Falls economics. Now, what about the endless, noneconomic complaints about immigration? I'm sure we'll get into an enormous number as we go on. So I will just give you a general rule for how I respond to all of them. Here is the rule: For any complaint you have, there is a cheaper and more human main remedy than mandatory discrimination against foreigners. Immigrants have used the welfare state. Let them work, but not collect benefits. Immigrants damage the environment. Let them work but tax their pollution. Immigrants vote the wrong way, let them work but not vote. Immigrants hurt well- skilled Americans. Let them work but charge immigrants an admission fee or a surtax. Then use those funds to compensate native workers who lose out. If you think these remedies are unfair, they are certainly less unfair than turning honest workers into criminals just because they were born in the wrong country. To conclude, let-- Let anyone take a job anywhere. It is the right way to treat your fellow human beings. It will transform the world for the better, and it will cost us less than nothing. Thank you.",-1
Let Anyone Take A Job Anywhere,7457,0,7487,30,John Donvan,mod,"{'applause': [[0, 50]]}","Thank you, Bryan Caplan. And our motion is, let anyone take a job anywhere. And here to speak against the motion, I'd like to introduce Ron Unz. He founded the financial services company Wall Street Analytics and is the former publisher of the American Conservative. Ladies and gentlemen, Ron Unz.",-1
Let Anyone Take A Job Anywhere,7457,0,7488,31,Ron Unz,against,"{'laughter': [[0, 52]]}","I'll admit, when I was first approached with this topic, the resolution being, ""Let Anyone Take a Job Anywhere,"" I thought the idea was so crazy it would be very hard to get anybody lined up on the other side. But obviously we've found a couple of intelligent people to do that. Let's think a little bit about what this means. Now, you know, I'm laboring under a disadvantage in this debate because not only am I not a trained economist, I've never even taken a class in economics. I've never even opened an economics textbook. I personally don't claim to really understand most economics. I'm not convinced everybody else understands economics that well either. But one part of economics that is very well-established, a very simple issue, is the law of supply and demand. Think of what production means. The two main factors in production are labor and capital. Together, those factors produce everything we have in our society. Allowing an unlimited number of additional workers from everywhere in the world to come here and take jobs would massively, massively increase the supply of labor. The result would be tremendously disadvantaging labor at the expense of capital. In effect, order workers, ordinary citizens, people basically who work for a living would be tremendously economically disadvantaged by the fact that they would be competing against a billion, 2 billion, 3 billion, an unlimited supply of additional foreign workers who would take the job for whatever wage they could. It's true, certainly, there would be a huge increase in economic production, productivity, GNP. But almost all of it, and possibly even more than all of it would be captured by capital, captured by the wealthy people on that side of the equation. In other words, what we're talking about is something that would be very beneficial for the top 1 percent, .1 percent, 2 percent, 5 percent, the wealthiest segment of American society. They would benefit, no doubt about it. Everybody else would suffer. I think that's very clear, because when you're talking about basically a hundred million or 150 million American workers, suddenly competing in an open labor market with a billion or 2 billion or 3 billion impoverished people from everywhere else in the world, they certainly would suffer. Now, let's think of what really has happened in American society over the last 20, 30, 40 years. The late Daniel Patrick Moynihan, over 20 years ago, pointed out that for two decades there had been no increase in average wage income in the United States. The standard of living of ordinary American workers had been stagnant for two decades. He said that 20 years ago. It's now been 40 years. The income of the average American has been stagnant or declining for 40 years now, which is a shocking statistic that most people are not aware of. Clearly, there have been advances in technology so that in many ways people have a much better life than they did before with iPhones, with Google, with things like that. But in terms of real income, people are basically the same or poorer than they were decades ago. And as Moynihan pointed out in the '90s, that's the longest period of economic stagnation that has happened in North America since European settlement began hundreds of years ago. Now, is it entirely coincidence that 40 years of economic stagnation for ordinary American workers is the same 40 years that has seen one of the highest rates of foreign immigration to the United States in our history? I think it's more than a coincidence. The point is, if you have a huge influx of willing workers from abroad, able to take any job they could because they come from poor countries, you're going to drive down the wages of ordinary American workers who are competing with them. Allowing anyone to take a job anywhere in effect would convert America's minimum wage into its maximum wage. And if you see the complaints right now over the 1 percent, over the wealthy elite who have tremendously benefited in the last few decades, while ordinary people, ordinary people in New York City or other places around the country have suffered, that would be tremendously exacerbated if you brought in tens or even hundreds of millions of impoverished workers from other countries to take their places. Now, the point is, when you're talking about the result of economic stagnation in the United States that has now gone on for 40 years for ordinary workers, the end result at some point may be severe political backlash. And that sort of thing is inevitable. The reason America in its history, largely avoided the disastrous political results of many European countries is that every decade Americans were wealthier and better off than they were before. That's no longer true today. And it's no longer been true for 40 years now. Allowing an unlimited number of impoverished foreign workers to come to the United States would obviously make that situation incredibly much worse. And the result would be an economic disaster. It's true that possibly 1 percent or 2 percent or even 5 percent of Americans would benefit tremendously from that change. But probably 90 percent of the American population would suffer economically. And they are the people who vote. They are the people who can protest. And their views would certainly be made known. And the result would be tremendous political backlash. We have to ask ourselves whether one reason for many of the problems we've had in the last few decades economically is because the glorification, the amplification of theoretical concepts that may look very good to pure economic theorists, people basically spend their time in the ivory tower, but don't understand that ordinary workers suffer when their incomes don't rise for 40 years. And I think, unfortunately, that's probably true today. One other aspect of the American political dynamic has been that there's an increasing centralization of politics in the hands of wealth; in other words, the people who fund the campaigns, the organizations that fund the campaigns. And when you have the wealthy people benefiting tremendously from a proposal like this, and everybody else suffering. But when the wealthy people fund the politicians, they fund the think tanks, they fund the universities, they fund the journals; it's not too surprising that some of these ideas become very common in such circles even if the end result would be disastrous for the United States. The bottom line is that letting anyone take a job anywhere might sound good in theory but it would destroy the United States and destroy the lives of ordinary workers. Thank you very much.",-1
